file_name,plot,campaign,quality,registered,clipped,height_norm
1,1,1,1,1,1,1
/Volumes/Extreme SSD/c1/c1_tls_p1301_201019_11dot3m.las,1301,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1303_201019_11dot3m.las,1303,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1304_201019_11dot3m.las,1304,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1306_201019_11dot3m.las,1306,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1310_201019_11dot3m.las,1310,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1312_201019_11dot3m.las,1312,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1313_201019_11dot3m.las,1313,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1325_201019_11dot3m.las,1325,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1329_201019_11dot3m.las,1329,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1332_201019_11dot3m.las,1332,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1335_201019_11dot3m.las,1335,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1337_201019_11dot3m.las,1337,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1340_201019_11dot3m.las,1340,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1342_201019_11dot3m.las,1342,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1349_201019_11dot3m.las,1349,c1,0,1,0,1
/Volumes/Extreme SSD/c1/c1_tls_p1853_201019_11dot3m.las,1853,c1,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p1_reg2c6_220309_11dot3m.las,1,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p11_reg2c6_230407_11dot3m.las,11,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p12_reg2c6_220315_11dot3m.las,12,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p13_reg2c6_220318_11dot3m.las,13,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p14_reg2c6_220318_11dot3m.las,14,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p15_reg2c6_220318_11dot3m.las,15,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p16_reg2c6_220318_11dot3m.las,16,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p17_reg2c6_220320_11dot3m.las,17,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p18_reg2c6_220320_11dot3m.las,18,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p19_reg2c6_220321_11dot3m.las,19,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p2_reg2c6_220312_11dot3m.las,2,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p20_reg2c6_220321_11dot3m.las,20,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p23_reg2c6_220321_11dot3m.las,23,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p24_reg2c6_220321_11dot3m.las,24,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p25_reg2c6_220321_11dot3m.las,25,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p26_reg2c6_220321_11dot3m.las,26,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p3_reg2c6_220312_11dot3m.las,3,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p4_reg2c6_220312_11dot3m.las,4,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p5_reg2c6_220312_11dot3m.las,5,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p6_reg2c6_220312_11dot3m.las,6,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p7_reg2c6_220312_11dot3m.las,7,c10,0,1,0,1
/Volumes/Extreme SSD/c10/c10_tls_p8_reg2c6_220315_11dot3m.las,8,c10,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p1_reg2c6_231116_11dot3m.las,1,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p12_reg2c6_231116_11dot3m.las,12,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p13_reg2c6_231116_11dot3m.las,13,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p14_reg2c6_231116_11dot3m.las,14,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p15_reg2c6_231116_11dot3m.las,15,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p16_reg2c6_231116_11dot3m.las,16,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p18_reg2c6_231116_11dot3m.las,18,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p19_reg2c6_231116_11dot3m.las,19,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p2_reg2c6_231116_11dot3m.las,2,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p20_reg2c6_231116_11dot3m.las,20,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p23_reg2c6_231116_11dot3m.las,23,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p24_reg2c6_231116_11dot3m.las,24,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p25_reg2c6_231116_11dot3m.las,25,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p26_reg2c6_231116_11dot3m.las,26,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p3_reg2c6_231116_11dot3m.las,3,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p4_reg2c6_231116_11dot3m.las,4,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p5_reg2c6_231116_11dot3m.las,5,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p6_reg2c6_231116_11dot3m.las,6,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p7_reg2c6_231116_11dot3m.las,7,c15,0,1,0,1
/Volumes/Extreme SSD/c15/c15_tls_p8_reg2c6_231116_11dot3m.las,8,c15,0,1,0,1
/Volumes/Extreme SSD/c2/c2_tls_p1301_200327.las,1301,c2,0,1,0,1
/Volumes/Extreme SSD/c2/c2_tls_p1303_200327.las,1303,c2,0,1,0,1
/Volumes/Extreme SSD/c2/c2_tls_p1304_200327.las,1304,c2,0,1,0,1
/Volumes/Extreme SSD/c2/c2_tls_p1306_200327.las,1306,c2,0,1,0,1
/Volumes/Extreme SSD/c2/c2_tls_p1307_200327.las,1307,c2,0,1,0,1
/Volumes/Extreme SSD/c2/c2_tls_p1309_200327.las,1309,c2,0,1,1,1
/Volumes/Extreme SSD/c2/c2_tls_p1310_200327.las,1310,c2,0,1,1,1
/Volumes/Extreme SSD/c2/c2_tls_p1312_200327.las,1312,c2,0,1,1,1
/Volumes/Extreme SSD/c2/c2_tls_p1313_200327.las,1313,c2,0,1,1,1
/Volumes/Extreme SSD/c2/c2_tls_p1319_200327.las,1319,c2,0,1,1,1
/Volumes/Extreme SSD/c2/c2_tls_p1325_200327.las,1325,c2,0,1,1,1
/Volumes/Extreme SSD/c2/c2_tls_p1329_200327.las,1329,c2,0,1,1,1
/Volumes/Extreme SSD/c2/c2_tls_p1332_200327.las,1332,c2,0,1,1,1
/Volumes/Extreme SSD/c2/c2_tls_p1335_200327.las,1335,c2,0,1,1,1
/Volumes/Extreme SSD/c6/c6_tls_p8_200812_11dot3m.las,8,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p7_200812_11dot3m.las,7,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p5_200814_11dot3m.las,5,c6,1,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p4_200814_11dot3m.las,4,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p3_200814_11dot3m.las,3,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p26_200815_11dot3m.las,26,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p25_200814_11dot3m.las,25,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p24_200815_11dot3m.las,24,c6,1,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p23_200815_11dot3m.las,23,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p20_200817_11dot3m.las,20,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p2_200814_11dot3m.las,2,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p19_200817_11dot3m.las,19,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p18_200815_11dot3m.las,18,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p17_200815_11dot3m.las,17,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p16_200814_11dot3m.las,16,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p15_200814_11dot3m.las,15,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p14_200814_11dot3m.las,14,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p13_200814_11dot3m.las,13,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p12_noscan10_11dot3m.las,12,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p11_200817_11dot3m.las,11,c6,0,1,0,1
/Volumes/Extreme SSD/c6/c6_tls_p1_200811_11dot3m.las,1,c6,0,1,0,1
